C99DOMAINS1 84
1 0xff00000000000
1 0x2118e20000000000000
1 0x31c0608000000000000
1 0x10a8c03000000000000
1 0x1038000070400000000
1 0x620c0000c2000000000
1 0x200e000066000000000
1 0x80460000e1000000000
1 0x3000190080a00000000
1 0x1000068070800000000
1 0xb000a00050800000000
1 0x100001c068200000000
1 0x10420a38000000000
1 0x30c200c0020000000
1 0x70900038000000000
1 0x30700828000000000
1 0x3c00230400000000
1 0x1300880b00000000
1 0x102204260020000000
1 0x101904020880000000
1 0xf090009000000000
1 0x2081409180000000
1 0x100a809090000000
1 0x1050a02a00000000
1 0x15a0000000000a08000
1 0x2308000000000618000
1 0x1189000000000a20000
1 0x5a20000000000188000
1 0x10008b0000000308000
1 0x9000118000000a04000
1 0x96000000740000
1 0x40000c3000000e00000
1 0x1a0800000a50000
1 0x70400200000e00000
1 0xa0400300000610000
1 0xa0140800000a00100
1 0x1101800000a02800
1 0x1402600000803000
1 0x3c00200000003800
1 0x1406200000600800
1 0x2d00000066000
1 0x3016800000060000
1 0x1012400000034800
1 0x1002c00000062800
1 0x1000000060a00920000
1 0x7000000018800a00000
1 0x50000000c2000902000
1 0xc000000030400c20000
1 0xe0000010040940000
1 0x300000600a0810000
1 0x1000004a000240a00
1 0x10e0660000
1 0x10000001a0d02000
1 0x4000010640a02000
1 0x6000050420a00000
1 0x101000010880a00800
1 0x5000009010098000
1 0x1000001890062000
1 0x5000006200038000
1 0x1e00e2000
1 0x14006c30000
1 0x500c0001c20000
1 0xb0060000300080
1 0x3000200ad00000
1 0x1060c0200200080
1 0x1000602708000
1 0x3020c00c00020
1 0x4000406d02000
1 0x10006060e0000
1 0x25001a00090000
1 0x500d00002a000
1 0x30050080a0080
1 0x12001c500800
1 0x220086600100
1 0xa30040100180
1 0x300082d00100
1 0x3000180f0000
1 0x104092030800
1 0x10008a0d0200
1 0x602081060080
1 0xe00340006000
1 0x50020800c210
1 0x700900002820
1 0x10010a006a00
